year,month,wage,prov
2020,5,14.60,BC
2020,10,11.90,MB
2020,4,11.65,NL
2020,10,12.15,NL
2020,4,12.55,NS
2020,4,16.00,NU
2020,10,14.25,ON
2020,4,12.85,PE
2020,5,13.10,QC
2020,10,11.45,SK
2020,4,13.71,YK
2021,5,15.20,BC
2021,10,11.95,MB
2021,4,11.75,NB
2021,4,12.50,NL
2021,10,12.75,NL
2021,9,15.20,NT
2021,4,12.95,NS
2021,10,14.35,ON
2021,4,13.00,PE
2021,5,13.50,QC
2021,10,11.81,SK
2021,4,13.85,YK
2021,8,15.20,YK
2022,1,15.00,ON
