code_de_la_subdivision_canadienne-canadian_subdivision_code,région_de_tri_d'acheminement-forward_sortation_area,code_de_genre-gender_group_code,compte_unique_du_bénéficiaire-unique_beneficiary_count
NS,B3L,103,X
NS,B3M,-1,X
NS,B3M,101,3960
NS,B3M,102,4020
NS,B3M,103,X
NS,B3N,101,1660
NS,B3N,102,1620
NS,B3N,103,X
NS,B3P,101,1100
NS,B3P,102,1130
NS,B3P,103,X
NS,B3R,101,1220
NS,B3R,102,1300
NS,B3S,-1,X
NS,B3S,101,1370
NS,B3S,102,1350
NS,B3T,101,1710
NS,B3T,102,1710
NS,B3T,103,X
NS,B3V,101,640
NS,B3V,102,660
NS,B3V,103,X
NS,B3W,102,X
NS,B3X,101,X
NS,B3Z,101,1540
NS,B3Z,102,1490
NS,B4A,101,1800
NS,B4A,102,1700
NS,B4A,103,X
NS,B4B,-1,X
NS,B4B,101,1570
NS,B4B,102,1380
NS,B4C,101,1980
NS,B4C,102,1840
NS,B4C,103,X
NS,B4E,101,2040
NS,B4E,102,1850
NS,B4E,103,X
NS,B4G,101,460
NS,B4G,102,500
NS,B4H,101,1340
NS,B4H,102,1310
NS,B4M,102,X
NS,B4N,101,1890
NS,B4N,102,1640
NS,B4N,103,X
NS,B4P,101,810
NS,B4P,102,730
NS,B4P,103,X
NS,B4R,101,260
NS,B4R,102,210
NS,B4R,103,X
NS,B4V,101,2040
NS,B4V,102,1920
NS,B4V,103,X
NS,B4W,102,X
NS,B5A,101,1720
NS,B5A,102,1950
NS,B5A,103,X
NS,B5N,101,X
NS,B6L,101,1390
NS,B6L,102,1200
NS,B6L,103,X
NS,B8V,101,X
NS,B9A,101,550
NS,B9A,102,500
NB,E0A,102,X
NB,E0B,102,X
NB,E1A,101,4770
NB,E1A,102,4740
NB,E1A,103,X
NB,E1B,101,2010
NB,E1B,102,1930
NB,E1B,103,X
NB,E1C,101,3070
NB,E1C,102,3480
NB,E1C,103,X
NB,E1E,101,1240
NB,E1E,102,1210
NB,E1E,103,X
NB,E1G,101,2500
NB,E1G,102,2270
NB,E1G,103,X
NB,E1H,101,770
NB,E1H,102,770
NB,E1H,103,X
NB,E1J,101,330
NB,E1J,102,360
NB,E1N,101,1070
NB,E1N,102,1100
NB,E1N,103,X
NB,E1V,101,1450
NB,E1V,102,1490
NB,E1V,103,X
NB,E1W,101,810
NB,E1W,102,770
NB,E1X,101,1570
NB,E1X,102,1550
NB,E2A,101,1620
NB,E2A,102,1910
NB,E2A,103,X
NB,E2B,101,X
NB,E2B,102,X
NB,E2E,101,1700
NB,E2E,102,1440
NB,E2G,101,440
NB,E2G,102,420
NB,E2H,101,470
NB,E2H,102,490
NB,E2J,101,1820
NB,E2J,102,1770
NB,E2J,103,X
NB,E2K,101,1950
NB,E2K,102,2000
NB,E2L,101,1100
NB,E2L,102,1340
NB,E2L,103,X
NB,E2M,101,1890
NB,E2M,102,1830
NB,E2M,103,X
NB,E2N,101,450
NB,E2N,102,470
NB,E2P,101,150
NB,E2P,102,140
NB,E2R,101,X
NB,E2R,102,X
NB,E2S,101,680
NB,E2S,102,730
NB,E2S,103,X
NB,E2V,101,1370
NB,E2V,102,780
NB,E2X,101,X
NB,E3A,101,3100
NB,E3A,102,2760
NB,E3A,103,X
NB,E3B,-1,X
NB,E3B,101,3940
NB,E3B,102,3780
NB,E3B,103,X
NB,E3C,101,980
NB,E3C,102,880
NB,E3E,101,440
NB,E3E,102,420
NB,E3G,101,850
NB,E3G,102,770
NB,E3H,101,X
NB,E3K,102,X
NB,E3L,101,960
NB,E3L,102,810
NB,E3M,101,X
NB,E3N,-1,X
NB,E3N,101,1360
NB,E3N,102,1380
NB,E3V,101,1180
NB,E3V,102,1210
NB,E3Y,101,760
NB,E3Y,102,690
NB,E3Z,101,410
NB,E3Z,102,380
NB,E4A,101,230
NB,E4A,102,290
NB,E4B,101,400
NB,E4B,102,450
NB,E4C,101,130
NB,E4C,102,190
NB,E4E,101,960
NB,E4E,102,870
NB,E4G,101,230
NB,E4G,102,270
NB,E4H,101,390
NB,E4H,102,440
NB,E4H,103,X
NB,E4J,101,520
NB,E4J,102,510
NB,E4K,101,530
NB,E4K,102,550
NB,E4K,103,X
NB,E4L,-1,X
NB,E4L,101,760
NB,E4L,102,720
NB,E4L,103,X
NB,E4M,101,190
NB,E4M,102,210
NB,E4N,101,480
NB,E4N,102,400
NB,E4P,101,1550
NB,E4P,102,1490
NB,E4R,101,630
NB,E4R,102,630
NB,E4S,101,790
NB,E4S,102,750
NB,E4T,101,240
NB,E4T,102,250
NB,E4V,101,450
NB,E4V,102,400
NB,E4V,103,X
NB,E4W,101,1160
NB,E4W,102,1080
NB,E4X,101,290
NB,E4X,102,240
NB,E4Y,101,260
NB,E4Y,102,290
NB,E4Z,101,520
NB,E4Z,102,550
NB,E4Z,103,X
NB,E5A,101,210
NB,E5A,102,210
NB,E5B,101,330
NB,E5B,102,280
NB,E5B,103,X
NB,E5C,101,440
NB,E5C,102,360
NB,E5E,-1,X
NB,E5E,101,90
NB,E5E,102,80
NB,E5G,101,270
NB,E5G,102,330
NB,E5H,101,310
NB,E5H,102,290
NB,E5J,101,170
NB,E5J,102,190
NB,E5K,101,600
NB,E5K,102,630
NB,E5L,101,260
NB,E5L,102,280
NB,E5M,101,160
NB,E5M,102,150
NB,E5N,101,1140
NB,E5N,102,1100
NB,E5P,101,260
NB,E5P,102,220
NB,E5R,101,160
NB,E5R,102,170
NB,E5S,101,160
NB,E5S,102,170
NB,E5T,101,270
NB,E5T,102,280
NB,E5V,101,70
NB,E5V,102,60
NB,E5X,102,X
NB,E6A,101,100
NB,E6A,102,130
NB,E6B,101,140
NB,E6B,102,160
NB,E6C,101,200
NB,E6C,102,270
NB,E6E,101,160
NB,E6E,102,170
NB,E6G,101,250
NB,E6G,102,270
NB,E6H,101,120
NB,E6H,102,130
NB,E6J,101,120
NB,E6J,102,130
NB,E6K,101,310
NB,E6K,102,340
NB,E6L,101,430
NB,E6L,102,470
NB,E7A,101,340
NB,E7A,102,310
NB,E7B,101,620
NB,E7B,102,560
NB,E7C,101,500
NB,E7C,102,490
NB,E7E,101,400
NB,E7E,102,410
NB,E7G,101,350
NB,E7G,102,430
NB,E7H,-1,X
NB,E7H,101,650
NB,E7H,102,690
NB,E7J,101,180
NB,E7J,102,200
NB,E7K,101,200
NB,E7K,102,190
NB,E7L,101,480
NB,E7L,102,480
NB,E7M,101,1040
NB,E7M,102,960
NB,E7N,-1,X
NB,E7N,101,260
NB,E7N,102,300
NB,E7P,101,310
NB,E7P,102,290
NB,E8A,101,410
NB,E8A,102,490
NB,E8B,101,320
NB,E8B,102,320
NB,E8C,101,390
NB,E8C,102,370
NB,E8C,103,X
NB,E8E,101,500
NB,E8E,102,520
NB,E8G,101,270
NB,E8G,102,330
NB,E8J,101,550
NB,E8J,102,610
NB,E8K,101,830
NB,E8K,102,870
NB,E8K,103,X
NB,E8L,101,220
NB,E8L,102,260
NB,E8M,101,260
NB,E8M,102,250
NB,E8N,101,230
NB,E8N,102,290
NB,E8P,101,390
NB,E8P,102,420
NB,E8P,103,X
NB,E8R,101,410
NB,E8R,102,410
NB,E8S,101,570
NB,E8S,102,590
NB,E8T,101,740
NB,E8T,102,790
NB,E9A,101,190
NB,E9A,102,200
NB,E9B,101,270
NB,E9B,102,360
NB,E9C,101,220
NB,E9C,102,240
NB,E9E,101,430
NB,E9E,102,490
NB,E9E,103,X
NB,E9G,101,700
NB,E9G,102,800
NB,E9G,103,X
NB,E9H,101,310
NB,E9H,102,340
NB,E9K,101,X
NB,E9M,102,X
QC,G0A,101,7790
QC,G0A,102,9710
QC,G0A,103,X
QC,G0C,101,4760
QC,G0C,102,5660
QC,G0C,103,X
QC,G0E,101,420
QC,G0E,102,450
QC,G0E,103,X
QC,G0F,102,X
QC,G0G,101,2250
QC,G0G,102,2310
QC,G0G,103,X
QC,G0H,101,1120
QC,G0H,102,1430
QC,G0H,103,X
QC,G0I,102,X
QC,G0J,-1,X
QC,G0J,101,2470
QC,G0J,102,2940
QC,G0K,101,1000
QC,G0K,102,1370
QC,G0L,101,5320
QC,G0L,102,6240
QC,G0L,103,X
QC,G0M,101,3720
QC,G0M,102,5110
QC,G0M,103,X
QC,G0N,101,1810
QC,G0N,102,2450
QC,G0P,101,720
QC,G0P,102,820
QC,G0R,101,7280
QC,G0R,102,10120
QC,G0R,103,X
QC,G0S,101,7060
QC,G0S,102,9080
QC,G0S,103,X
QC,G0T,101,1300
QC,G0T,102,1390
QC,G0T,103,X
QC,G0V,101,1770
QC,G0V,102,2000
QC,G0W,101,3600
QC,G0W,102,4600
QC,G0X,101,5380
QC,G0X,102,6900
QC,G0X,103,X
QC,G0Y,101,920
QC,G0Y,102,1260
QC,G0Z,101,880
QC,G0Z,102,1270
QC,G1A,101,60
QC,G1A,102,180
QC,G1B,101,2380
QC,G1B,102,3810
QC,G1C,101,3300
QC,G1C,102,3860
QC,G1C,103,X
QC,G1E,101,2790
QC,G1E,102,3430
QC,G1E,103,X
QC,G1G,101,2210
QC,G1G,102,2590
QC,G1G,103,X
QC,G1H,101,2790
QC,G1H,102,3560
QC,G1J,101,2580
QC,G1J,102,3330
QC,G1J,103,X
QC,G1K,101,2090
QC,G1K,102,2880
QC,G1K,103,X
QC,G1L,101,2560
QC,G1L,102,3220
QC,G1L,103,X
QC,G1M,101,2090
QC,G1M,102,2570
QC,G1M,103,X
QC,G1N,101,1020
QC,G1N,102,1330
QC,G1N,103,X
QC,G1O,101,X
QC,G1P,101,1630
QC,G1P,102,2010
QC,G1P,103,X
QC,G1Q,102,X
QC,G1R,101,1610
QC,G1R,102,2010
QC,G1R,103,X
QC,G1S,101,1850
QC,G1S,102,2010
QC,G1S,103,X
QC,G1T,101,480
QC,G1T,102,520
QC,G1V,101,1920
QC,G1V,102,2600
QC,G1V,103,X
QC,G1W,101,1810
QC,G1W,102,1960
QC,G1X,101,2190
QC,G1X,102,2550
QC,G1X,103,X
QC,G1Y,101,880
QC,G1Y,102,980
QC,G2A,101,1390
QC,G2A,102,1640
QC,G2B,101,2300
QC,G2B,102,2480
QC,G2C,101,1090
QC,G2C,102,1090
QC,G2C,103,X
QC,G2E,101,1750
QC,G2E,102,2150
QC,G2G,101,1050
QC,G2G,102,1240
QC,G2G,103,X
QC,G2J,101,300
QC,G2J,102,320
QC,G2K,101,1070
QC,G2K,102,1100
QC,G2L,101,1300
QC,G2L,102,1400
QC,G2M,101,490
QC,G2M,102,580
QC,G2N,101,790
QC,G2N,102,990
QC,G2S,102,X
QC,G2T,102,X
QC,G2Z,101,X
QC,G3A,101,1580
QC,G3A,102,1850
QC,G3A,103,X
QC,G3B,101,850
QC,G3B,102,950
QC,G3C,101,1020
QC,G3C,102,1350
QC,G3E,101,1530
QC,G3E,102,1700
QC,G3G,101,1000
QC,G3G,102,1290
QC,G3H,101,980
QC,G3H,102,1100
QC,G3H,103,X
QC,G3J,101,1000
QC,G3J,102,1170
QC,G3K,101,1960
QC,G3K,102,1980
QC,G3L,101,1150
QC,G3L,102,1330
QC,G3M,101,660
QC,G3M,102,750
QC,G3N,101,980
QC,G3N,102,1090
QC,G3R,102,X
QC,G3S,101,570
QC,G3S,102,460
QC,G3S,103,X
QC,G3Z,101,750
QC,G3Z,102,860
QC,G4A,101,310
QC,G4A,102,320
QC,G4L,102,X
QC,G4R,101,2230
QC,G4R,102,2230
QC,G4S,101,510
QC,G4S,102,510
QC,G4T,101,1420
QC,G4T,102,1520
QC,G4T,103,X
QC,G4V,101,570
QC,G4V,102,700
QC,G4V,103,X
QC,G4W,101,1180
QC,G4W,102,1240
QC,G4X,101,1290
QC,G4X,102,1450
QC,G4X,103,X
QC,G4Z,101,760
QC,G4Z,102,870
QC,G5A,101,940
QC,G5A,102,1010
QC,G5B,101,460
QC,G5B,102,520
QC,G5C,101,980
QC,G5C,102,1080
QC,G5C,103,X
QC,G5H,101,610
QC,G5H,102,690
QC,G5J,101,510
QC,G5J,102,560
QC,G5K,102,X
QC,G5L,101,2600
QC,G5L,102,2810
QC,G5M,101,710
QC,G5M,102,700
QC,G5N,101,720
QC,G5N,102,810
QC,G5R,101,1910
QC,G5R,102,2190
QC,G5T,101,260
QC,G5T,102,280
QC,G5V,101,1090
QC,G5V,102,1510
QC,G5X,101,670
QC,G5X,102,900
QC,G5Y,101,2570
QC,G5Y,102,3490
QC,G5Y,103,X
QC,G5Z,101,790
QC,G5Z,102,980
QC,G6A,101,280
QC,G6A,102,340
QC,G6B,101,800
QC,G6B,102,1000
QC,G6C,101,830
QC,G6C,102,1040
QC,G6C,103,X
QC,G6E,101,1360
QC,G6E,102,1620
QC,G6G,101,1820
QC,G6G,102,2350
QC,G6H,101,730
QC,G6H,102,930
QC,G6J,101,1040
QC,G6J,102,1330
QC,G6J,103,X
QC,G6K,101,740
QC,G6K,102,840
QC,G6L,101,1630
QC,G6L,102,1970
QC,G6P,101,2990
QC,G6P,102,3480
QC,G6R,101,550
QC,G6R,102,610
QC,G6S,101,590
QC,G6S,102,570
QC,G6T,101,1310
QC,G6T,102,1320
QC,G6V,101,2770
QC,G6V,102,3550
QC,G6V,103,X
QC,G6W,101,2300
QC,G6W,102,2690
QC,G6W,103,X
QC,G6X,101,950
QC,G6X,102,1140
QC,G6Y,101,620
QC,G6Y,102,680
QC,G6Z,101,2260
QC,G6Z,102,2700
QC,G7A,101,2110
QC,G7A,102,2500
QC,G7A,103,X
QC,G7B,101,1590
QC,G7B,102,1700
QC,G7C,102,X
QC,G7G,101,1600
QC,G7G,102,1850
QC,G7H,101,2320
QC,G7H,102,2790
QC,G7J,101,1480
QC,G7J,102,1730
QC,G7K,101,80
QC,G7K,102,100
QC,G7M,102,X
QC,G7N,101,600
QC,G7N,102,640
QC,G7N,103,X
QC,G7P,101,740
QC,G7P,102,790
QC,G7P,103,X
QC,G7S,101,1700
QC,G7S,102,1780
QC,G7T,101,170
QC,G7T,102,130
QC,G7V,101,X
QC,G7X,101,2510
QC,G7X,102,2950
QC,G7X,103,X
QC,G7Y,101,80
