pcu_date_des_donnees_inclus-cerb_week_ending_date,code_de_la_subdivision_canadienne-canadian_subdivision_code,code_de_genre-gender_group_code,compte_unique_du_demandeur-unique_applicant_count 
2020-07-26,YT,103,10
2020-07-26,NT,101,5040
2020-07-26,NT,102,6050
2020-07-26,NT,103,10
2020-07-26,NU,101,4430
2020-07-26,NU,102,4810
2020-07-26,NU,103,0
2020-07-26,**,101,1390
2020-07-26,**,102,2120
2020-07-26,**,103,1170
2020-07-26,??,101,30
2020-07-26,??,102,50
2020-07-26,??,103,0
2020-08-02,NL,101,51640
2020-08-02,NL,102,56990
2020-08-02,NL,103,50
2020-08-02,PE,101,15940
2020-08-02,PE,102,16170
2020-08-02,PE,103,50
2020-08-02,NS,101,99130
2020-08-02,NS,102,101710
2020-08-02,NS,103,170
2020-08-02,NB,101,75700
2020-08-02,NB,102,75990
2020-08-02,NB,103,90
2020-08-02,QC,101,875010
2020-08-02,QC,102,1067890
2020-08-02,QC,103,560
2020-08-02,ON,101,1670780
2020-08-02,ON,102,1718760
2020-08-02,ON,103,2840
2020-08-02,MB,101,131400
2020-08-02,MB,102,129770
2020-08-02,MB,103,190
2020-08-02,SK,101,112540
2020-08-02,SK,102,115510
2020-08-02,SK,103,110
2020-08-02,AB,101,506470
2020-08-02,AB,102,516090
2020-08-02,AB,103,560
2020-08-02,BC,101,579280
2020-08-02,BC,102,557920
2020-08-02,BC,103,810
2020-08-02,YT,101,4150
2020-08-02,YT,102,4520
2020-08-02,YT,103,10
2020-08-02,NT,101,5090
2020-08-02,NT,102,6100
2020-08-02,NT,103,10
2020-08-02,NU,101,4480
2020-08-02,NU,102,4880
2020-08-02,NU,103,0
2020-08-02,**,101,1430
2020-08-02,**,102,2190
2020-08-02,**,103,1170
2020-08-02,??,101,30
2020-08-02,??,102,50
2020-08-02,??,103,0
2020-08-09,NL,101,52380
2020-08-09,NL,102,57810
2020-08-09,NL,103,50
2020-08-09,PE,101,16120
2020-08-09,PE,102,16430
2020-08-09,PE,103,50
2020-08-09,NS,101,100050
2020-08-09,NS,102,102820
2020-08-09,NS,103,180
2020-08-09,NB,101,76490
2020-08-09,NB,102,76950
2020-08-09,NB,103,90
2020-08-09,QC,101,882060
2020-08-09,QC,102,1076770
2020-08-09,QC,103,600
2020-08-09,ON,101,1681190
2020-08-09,ON,102,1728260
2020-08-09,ON,103,2980
2020-08-09,MB,101,132750
2020-08-09,MB,102,131210
2020-08-09,MB,103,210
2020-08-09,SK,101,113660
