Table 1: Approved Canada Emergency Rent Subsidy (CERS) and Lockdown Support Claims by Period and Province or Territory of Business Address,,,,
,,,,
Claim Period,Province or Territory,Count of approved applications,Total Canada Emergency Rent Subsidy and Lockdown Support (Line 320),Count of properties
"P6: February 14, 2021 to March 13, 2021",Alberta,21330,98233000,38650
"P6: February 14, 2021 to March 13, 2021",British Columbia,19300,72486000,26490
"P6: February 14, 2021 to March 13, 2021",Yukon,-,-,-
"P6: February 14, 2021 to March 13, 2021",Northwest Territories,50,124000,50
"P6: February 14, 2021 to March 13, 2021",Nunavut,-,-,-
"P6: February 14, 2021 to March 13, 2021",Missing,140,5215000,1240
"P6: February 14, 2021 to March 13, 2021",Total - Period 6,165240,716786000,245340
"P7: March 14, 2021 to April 10, 2021",Newfoundland and Labrador,920,3336000,1320
"P7: March 14, 2021 to April 10, 2021",Prince Edward Island,260,621000,370
"P7: March 14, 2021 to April 10, 2021",Nova Scotia,1840,5790000,2930
"P7: March 14, 2021 to April 10, 2021",New Brunswick,1490,3926000,2430
"P7: March 14, 2021 to April 10, 2021",Quebec,30380,112395000,42790
"P7: March 14, 2021 to April 10, 2021",Ontario,77290,319213000,99740
"P7: March 14, 2021 to April 10, 2021",Manitoba,3470,13150000,7350
"P7: March 14, 2021 to April 10, 2021",Saskatchewan,3570,12208000,12870
"P7: March 14, 2021 to April 10, 2021",Alberta,20500,87403000,38580
"P7: March 14, 2021 to April 10, 2021",British Columbia,18620,69402000,25530
"P7: March 14, 2021 to April 10, 2021",Yukon,-,-,-
"P7: March 14, 2021 to April 10, 2021",Northwest Territories,50,118000,60
"P7: March 14, 2021 to April 10, 2021",Nunavut,-,-,-
"P7: March 14, 2021 to April 10, 2021",Missing,130,3837000,1170
"P7: March 14, 2021 to April 10, 2021",Total - Period 7,158560,631494000,235190
"P8: April 11, 2021 to May 8, 2021",Newfoundland and Labrador,740,2515000,1080
"P8: April 11, 2021 to May 8, 2021",Prince Edward Island,230,595000,390
"P8: April 11, 2021 to May 8, 2021",Nova Scotia,1790,6331000,2660
"P8: April 11, 2021 to May 8, 2021",New Brunswick,1200,3158000,1910
"P8: April 11, 2021 to May 8, 2021",Quebec,26960,108765000,37470
"P8: April 11, 2021 to May 8, 2021",Ontario,72380,332567000,91780
"P8: April 11, 2021 to May 8, 2021",Manitoba,3030,10587000,5640
"P8: April 11, 2021 to May 8, 2021",Saskatchewan,3060,10855000,8850
"P8: April 11, 2021 to May 8, 2021",Alberta,18680,88852000,35210
"P8: April 11, 2021 to May 8, 2021",British Columbia,16880,71870000,22920
"P8: April 11, 2021 to May 8, 2021",Yukon,-,-,-
"P8: April 11, 2021 to May 8, 2021",Northwest Territories,40,104000,50
"P8: April 11, 2021 to May 8, 2021",Nunavut,-,-,-
"P8: April 11, 2021 to May 8, 2021",Missing,110,4106000,820
"P8: April 11, 2021 to May 8, 2021",Total - Period 8,145150,640422000,208860
"P9: May 9, 2021 to June 5, 2021",Newfoundland and Labrador,620,1829000,880
"P9: May 9, 2021 to June 5, 2021",Prince Edward Island,230,701000,330
"P9: May 9, 2021 to June 5, 2021",Nova Scotia,1800,8340000,2690
"P9: May 9, 2021 to June 5, 2021",New Brunswick,1120,2845000,1680
"P9: May 9, 2021 to June 5, 2021",Quebec,24990,99764000,34500
"P9: May 9, 2021 to June 5, 2021",Ontario,68340,319124000,86600
"P9: May 9, 2021 to June 5, 2021",Manitoba,3040,13257000,5200
"P9: May 9, 2021 to June 5, 2021",Saskatchewan,2760,9955000,7580
"P9: May 9, 2021 to June 5, 2021",Alberta,17570,90270000,32330
"P9: May 9, 2021 to June 5, 2021",British Columbia,15730,66135000,20710
"P9: May 9, 2021 to June 5, 2021",Yukon,30,52000,40
"P9: May 9, 2021 to June 5, 2021",Northwest Territories,40,103000,50
"P9: May 9, 2021 to June 5, 2021",Nunavut,10,41000,20
"P9: May 9, 2021 to June 5, 2021",Missing,100,2952000,580
"P9: May 9, 2021 to June 5, 2021",Total - Period 9,136380,615367000,193190
"P10: June 6, 2021 to July 3, 2021",Newfoundland and Labrador,550,1768000,860
"P10: June 6, 2021 to July 3, 2021",Prince Edward Island,200,528000,290
"P10: June 6, 2021 to July 3, 2021",Nova Scotia,1400,6462000,2170
"P10: June 6, 2021 to July 3, 2021",New Brunswick,910,2290000,1340
"P10: June 6, 2021 to July 3, 2021",Quebec,20690,76096000,28740
"P10: June 6, 2021 to July 3, 2021",Ontario,59060,270513000,73820
"P10: June 6, 2021 to July 3, 2021",Manitoba,2550,11430000,4120
"P10: June 6, 2021 to July 3, 2021",Saskatchewan,2090,6713000,3710
"P10: June 6, 2021 to July 3, 2021",Alberta,14670,69542000,20140
"P10: June 6, 2021 to July 3, 2021",British Columbia,13380,53006000,17370
"P10: June 6, 2021 to July 3, 2021",Yukon,-,-,-
"P10: June 6, 2021 to July 3, 2021",Northwest Territories,40,92000,50
"P10: June 6, 2021 to July 3, 2021",Nunavut,-,-,-
"P10: June 6, 2021 to July 3, 2021",Missing,80,1927000,500
"P10: June 6, 2021 to July 3, 2021",Total - Period 10,115660,500449000,153130
"P11: July 4, 2021 to July 31, 2021",Newfoundland and Labrador,430,1120000,640
"P11: July 4, 2021 to July 31, 2021",Prince Edward Island,160,390000,220
"P11: July 4, 2021 to July 31, 2021",Nova Scotia,1050,3435000,1600
"P11: July 4, 2021 to July 31, 2021",New Brunswick,690,1521000,960
"P11: July 4, 2021 to July 31, 2021",Quebec,15590,43583000,21250
"P11: July 4, 2021 to July 31, 2021",Ontario,47700,169507000,58180
"P11: July 4, 2021 to July 31, 2021",Manitoba,1980,7137000,2930
"P11: July 4, 2021 to July 31, 2021",Saskatchewan,1590,4004000,2410
"P11: July 4, 2021 to July 31, 2021",Alberta,11620,40407000,15700
"P11: July 4, 2021 to July 31, 2021",British Columbia,10690,34637000,13560
"P11: July 4, 2021 to July 31, 2021",Yukon,-,-,-
"P11: July 4, 2021 to July 31, 2021",Northwest Territories,30,72000,40
"P11: July 4, 2021 to July 31, 2021",Nunavut,-,-,-
"P11: July 4, 2021 to July 31, 2021",Missing,50,1290000,350
"P11: July 4, 2021 to July 31, 2021",Total - Period 11,91600,307160000,117880
"P12: August 1, 2021 to August 28, 2021",Newfoundland and Labrador,340,576000,440
"P12: August 1, 2021 to August 28, 2021",Prince Edward Island,120,182000,170
"P12: August 1, 2021 to August 28, 2021",Nova Scotia,800,1318000,1160
"P12: August 1, 2021 to August 28, 2021",New Brunswick,540,758000,760
"P12: August 1, 2021 to August 28, 2021",Quebec,11800,21983000,15540
"P12: August 1, 2021 to August 28, 2021",Ontario,36570,77323000,44340
"P12: August 1, 2021 to August 28, 2021",Manitoba,1410,2714000,2120
"P12: August 1, 2021 to August 28, 2021",Saskatchewan,1180,1893000,1610
"P12: August 1, 2021 to August 28, 2021",Alberta,8810,19590000,11670
"P12: August 1, 2021 to August 28, 2021",British Columbia,8100,16597000,10190
"P12: August 1, 2021 to August 28, 2021",Yukon,-,-,-
"P12: August 1, 2021 to August 28, 2021",Northwest Territories,20,34000,30
"P12: August 1, 2021 to August 28, 2021",Nunavut,-,-,-
"P12: August 1, 2021 to August 28, 2021",Missing,30,559000,180
"P12: August 1, 2021 to August 28, 2021",Total - Period 12,69740,143549000,88230
"P13: August 29, 2021 to September 25, 2021",Newfoundland and Labrador,170,305000,220
"P13: August 29, 2021 to September 25, 2021",Prince Edward Island,50,79000,80
"P13: August 29, 2021 to September 25, 2021",Nova Scotia,380,607000,470
"P13: August 29, 2021 to September 25, 2021",New Brunswick,250,277000,280
"P13: August 29, 2021 to September 25, 2021",Quebec,5470,9553000,6530
"P13: August 29, 2021 to September 25, 2021",Ontario,18710,37425000,22030
"P13: August 29, 2021 to September 25, 2021",Manitoba,660,1088000,810
"P13: August 29, 2021 to September 25, 2021",Saskatchewan,590,918000,760
"P13: August 29, 2021 to September 25, 2021",Alberta,4590,9550000,5640
"P13: August 29, 2021 to September 25, 2021",British Columbia,4030,7824000,4980
"P13: August 29, 2021 to September 25, 2021",Yukon,10,10000,10
"P13: August 29, 2021 to September 25, 2021",Northwest Territories,10,19000,20
"P13: August 29, 2021 to September 25, 2021",Nunavut,-,-,-
"P13: August 29, 2021 to September 25, 2021",Missing,20,244000,100
"P13: August 29, 2021 to September 25, 2021",Total - Period 13,34940,67899000,41930
Total since launch,,1746530,6914033000,-
,,,,
 ,,,,
Notes:,,,,
1. Data are from Canada Revenue Agency source systems as of October 17 2021 11:59:59PM.,,,,
2. Numbers undergo a statistical review to ensure they represent the population of applicants. Numbers are also subject to change as claims are received/reviewed/adjusted.,,,,
3. All counts are rounded to the nearest ten. All amounts are rounded to the nearest thousand.,,,,
4. The sum of the data may not add to the total due to rounding.,,,,
5. Province/Territory is determined by the business address of the applicant and may not fully reflect where the economic activity took place in Canada.,,,,
6. 'Missing' indicates that Province/Territory is not available or the business address of the applicant is outside of Canada.,,,,
7. Total Canada Emergency Rent Subsidy (Line 320) is the sum of Line 300 (Canada Emergency Rent Subsidy) and Line 310 (Lockdown Support).,,,,
8. As applicants may submit a separate CERS claim for each period; the total number of properties for all periods can result in double counting if summing all periods together. As a result; the overall total for the number of properties is not displayed.,,,,
9. A hyphen [-] indicates that the information has been suppressed for confidentiality purposes. Suppressed information also includes valid zeros.,,,,
